rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Louisville,ACC,27-7,118.732587538986,7,79.30869916675869,23,0.9904398787519747,11,27.98046756468025,7.019532435319751,15.0,3.0,15-3,0.7325840109853484,0.5715393111217155,0.8082016254941048,0.7322827533669747,0.5715393111217155,0.8082016254941048,0.5016990646230792,0.6344598864658129,102.14851142639799,85.86887205974168,101.95903665216468,85.92714124897083,118.3796262976481,79.60087134044839,120.74118177720361,79.45716867429462,0.9919336741409713,19.0,0.00137712969798931,1406.0,1124.0,1288.38,1.0912929415234636,0.8724134184014032,0.0,0.8333333333333334,8.51764076552572,10,168,69.37218749514403
12,Maryland,B10,23-8,117.4153102345831,8,79.19056909950805,22,0.9893278802430743,12,23.96974872385767,8.030251276142328,11.0,7.0,11-7,0.708647172905418,0.37499838298326754,0.9163311620190709,0.7097223247883812,0.37499838298326754,0.9163311620190709,0.5199316439977644,0.8322862670582136,102.68974730714496,87.31726055337423,102.80630949667709,87.6208818339809,118.70929823062885,79.24226101050722,117.84846271454592,80.6081922462985,0.9874783069799679,14.0,-0.026138950211757273,1429.0,1293.0,1347.5400000000002,1.0604508957062497,0.9595262478293778,0.0,0.6111111111111112,5.797987170000334,18,246,71.37057217264473
13,Ohio St.,B10,26-7,116.79569404646253,11,78.87494514543738,19,0.9891691804846809,13,26.994092929721496,7.005907070278502,13.0,5.0,13-5,0.756532603921759,0.45814889086107907,0.9192389820630557,0.7462180181261167,0.45814889086107907,0.9192389820630557,0.4587239414180229,0.7312257212728243,105.47631624376791,85.31325184483389,105.02593817187142,85.54528263601497,118.85701137152955,79.32981762222865,122.70871668365551,79.51525205043987,0.9932365932322283,18.0,0.08886510183655472,1452.0,1286.0,1357.9399999999998,1.0692666833586169,0.9470226961426869,0.0,0.7222222222222222,9.976304299092577,8,21,73.8376709395319
14,Oklahoma,SEC,24-7,113.43105310509935,21,76.9429075988105,11,0.9886094161751314,14,24.973994749121506,7.026005250878495,11.0,5.0,11-5,0.7204555651838939,0.4164837636210058,0.9356367980260496,0.7212124337081439,0.4164837636210058,0.9356367980260496,0.49404325346247696,0.7713455851652044,103.90574510701728,85.57459482524588,103.65933976293141,85.63434382907305,114.40540673633421,76.1004108988181,113.17194923722053,75.6275997063874,0.9903919645557091,17.0,0.04058986855037261,1276.0,1137.0,1257.74,1.0145181039006472,0.9040024170337272,0.0,0.6875,7.5474831672758205,13,70,77.62991298969771
15,TCU,B12,29-5,113.51754268642021,20,77.0848111663149,13,0.9884686550442051,15,29.98426565251334,5.01573434748666,15.0,3.0,15-3,0.6916965979129378,0.4078569908700309,0.8564476137766097,0.6900191359398078,0.4078569908700309,0.8564476137766097,0.5831785988901803,0.7908235734364681,99.93163623976689,88.07180511977789,99.78176890428968,88.1355616254796,114.7022746787311,78.48161588261777,115.32861361961483,78.36784233200166,0.9883792798324323,13.0,0.001086986830888037,1318.0,1086.0,1255.88,1.049463324521451,0.8647322992642609,0.0,0.8333333333333334,7.528506046094348,14,171,67.74237701929867
16,West Virginia,B12,27-6,111.44681141395034,28,75.8127806360914,8,0.9882342436660279,16,27.961496718085822,6.038503281914178,14.0,4.0,14-4,0.772338455235592,0.6175287915837574,0.8440976720983044,0.7734142857947451,0.6175287915837574,0.8440976720983044,0.5219040765451893,0.6544158353421226,101.49321922827745,86.04637100637979,101.32607045755059,86.00123778841333,112.0865620376562,77.31190830084957,107.14562147742728,75.02380802255463,0.9836719596843254,17.0,-0.0089282819850931,1369.0,1095.0,1297.5200000000002,1.055089709599852,0.8439176274739502,0.0,0.7777777777777778,7.8835786138197275,12,192,69.90220411580006
17,Kentucky,SEC,23-10,115.17903389490449,16,78.46030706164747,17,0.988047509525498,17,23.84662666402891,10.15337333597109,8.0,8.0,8-8,0.7406183645471817,0.4763939217505358,0.9416250648808444,0.7464061659206818,0.4763939217505358,0.9416250648808444,0.4797221280900596,0.7557426217349132,104.64173636461783,86.20157259022423,104.63469482764181,86.09297934667929,113.95328859646128,78.98860321763708,115.19354159622839,80.10718513079549,0.9848926834636219,16.0,-0.035043556464286474,1122.0,1073.0,1120.9199999999998,1.000963494272562,0.9572494022767014,0.0,0.5,5.437190938767155,19,273,67.03283584848491
18,North Carolina,ACC,26-7,112.53187802288517,27,77.51211234944161,14,0.986443324442522,18,26.977766972300763,7.022233027699238,14.0,4.0,14-4,0.6993756387612132,0.49136960903835686,0.8190131712417583,0.6986758275598532,0.49136960903835686,0.8190131712417583,0.5391002993396793,0.6836414993733477,101.65601853828716,87.31251235065028,101.58780638978548,87.48562487577479,110.21050879496207,77.46257985427243,114.8247206574939,80.91659507527199,0.9824476709806217,13.0,0.011795553709724405,1294.0,1079.0,1263.2000000000003,1.0243825205826471,0.8541798606713108,0.0,0.7777777777777778,6.726896115231738,15,145,68.20233735909086
19,Washington,B10,21-10,112.76388965496398,24,79.09310342940739,20,0.9833525474109128,19,21.839456008759008,10.16054399124099,10.0,8.0,10-8,0.7768702901668638,0.49933821299605563,0.9227068777398559,0.7813017935102483,0.49933821299605563,0.9227068777398559,0.46362246056201956,0.8052122664793093,105.1781029363327,85.35122828373508,105.24978233375637,85.40409189147195,112.84739600224495,79.60870477153253,113.68955996104224,77.96197376551007,0.9871106329532058,17.0,-0.026057981459906343,1262.0,1210.0,1257.42,1.0036423788392104,0.9622878592673887,0.0,0.5555555555555556,4.962925819399954,22,245,66.37798789998843
20,USC,B10,17-13,107.59343960440398,39,75.83618799968767,9,0.9824072136872657,20,17.82558075813617,13.174419241863829,9.0,9.0,9-9,0.8148002715790198,0.6278832378383046,0.9196633324298583,0.8182538121851091,0.6278832378383046,0.9196633324298583,0.3964687377505868,0.580428973071792,108.75275383704613,83.84643355560938,108.59839274431333,83.84776648785062,109.86856815893265,76.707364100234,106.87240144867067,75.8336514644447,0.9810268477047,18.0,-0.04185058840748246,1245.0,1209.0,1278.0999999999997,0.9741021829277837,0.9459353728190285,0.0,0.5,3.781039248969182,26,287,69.56044961253187
21,Mississippi,SEC,23-11,114.31406464626133,18,80.69333706095452,31,0.9821085073265649,21,23.877115340787995,11.122884659212007,8.0,8.0,8-8,0.7275632234196533,0.46352700652632234,0.9373197314582528,0.7320594643006977,0.46352700652632234,0.9373197314582528,0.4945321831251399,0.7725425085097587,102.48953240388053,85.22864413690569,102.59778433433023,85.33648692452225,115.15338723977614,81.60721606055425,116.96183468243545,81.4136221848996,0.9847304659073344,16.0,-0.02123455916854844,1142.0,1108.0,1131.1799999999998,1.0095652327657845,0.9795081242596229,0.0,0.5,4.5871831069318905,24,233,68.07118102444807
22,Michigan St.,B10,22-8,116.70406148278133,12,82.53738580682895,39,0.9817197543116736,22,22.90014748188057,8.09985251811943,11.0,7.0,11-7,0.7354036586020223,0.40940973205215214,0.9215323558509293,0.7393024590232341,0.40940973205215214,0.9215323558509293,0.4815752682381467,0.8264232853401349,105.11696817467413,87.36147235363586,104.9483982203353,87.30247814378362,117.69036861079508,85.62442960856235,117.775359198539,82.87312744411544,0.982738840434674,16.0,0.03778201940812709,1380.0,1342.0,1311.68,1.0520858746035617,1.0231153939985362,0.0,0.6111111111111112,6.17989210947252,16,76,70.96728397787892
23,Notre Dame,ACC,22-10,113.22645159772519,22,80.61052201828454,30,0.9803001380717414,23,22.859903537085337,10.140096462914663,12.0,6.0,12-6,0.7535393155768678,0.5904128813199501,0.8206280233234287,0.7576804670517784,0.5904128813199501,0.8206280233234287,0.4795706374427689,0.5793371247798769,103.0726983827072,86.22659186760815,103.08627578681696,86.22872099480745,115.25889431187493,84.40533879346535,113.66411667144352,80.76188072040885,0.9807355371851907,17.0,-0.014626069770426575,1389.0,1219.0,1301.8799999999999,1.0669186100101393,0.9363382185762129,0.0,0.6666666666666666,4.922633498148851,23,215,71.02117175759396
24,Tennessee,SEC,16-13,113.64485174041366,19,81.03633193337903,32,0.9799461706279948,24,16.539059905317337,13.46094009468266,8.0,8.0,8-8,0.8023632187701125,0.6132022430478562,0.9336313969744616,0.8081720081368275,0.6132022430478562,0.9336313969744616,0.40231880484176924,0.5857517042281566,107.24360590379828,83.19865697112476,107.42118139033401,83.13772741912672,116.01706119738552,82.13024352126,115.27617130771738,83.35878853731695,0.9765242585098834,18.0,-0.05747296061799201,1207.0,1185.0,1192.04,1.0125499144324017,0.994094157914164,0.0,0.5,2.723174949979284,34,310,73.29421215206358
25,N.C. State,ACC,20-10,112.57087050043539,26,81.3707704107409,33,0.9766268997743088,25,20.460940094682663,10.53905990531734,13.0,5.0,13-5,0.7979761116039089,0.7788785256420816,0.7995177459991528,0.8038461135078971,0.7788785256420816,0.7995177459991528,0.48951017992654006,0.5333779292620732,103.23282092843527,85.459961598819,103.56869289010886,85.31726386767876,116.78968778429251,81.92068406666064,112.44727021345808,81.76942530636121,0.9750029219935712,14.0,-0.05444893229530534,1430.0,1187.0,1315.8000000000002,1.0867913056695544,0.9021127830977351,0.0,0.7222222222222222,3.108301877659918,32,309,70.76458918528009
26,Nebraska,B10,18-12,116.220778784711,14,84.49790884007956,52,0.9750544022094844,26,18.733831439505543,12.266168560494457,7.0,11.0,7-11,0.7673103245685124,0.5070679488427682,0.917256357822392,0.7726910363336296,0.5070679488427682,0.917256357822392,0.4906104700054351,0.8300418957802876,105.60595065419342,86.92754418418438,105.72449468644548,86.92269158025199,117.07233809920402,87.50322173675973,117.1718083721777,87.35037184794764,0.9670006446319959,14.0,-0.0685414445665018,1337.0,1362.0,1287.8000000000002,1.0382046901692807,1.05761764249107,0.0,0.3888888888888889,1.6786127565033242,41,337,70.05932287018993
27,Villanova,BE,25-7,109.4383805686204,33,79.73356765701196,27,0.9744619584934885,27,25.52619587093224,7.473804129067761,16.0,4.0,16-4,0.7514388455781165,0.6592829834273968,0.7771716741255212,0.7581139687403025,0.6592829834273968,0.7771716741255212,0.6066408832475368,0.6714884858065057,100.5766901413069,85.71535858691324,100.77525599404086,85.50478305940119,109.94124514696493,79.41724779130858,116.99029112258256,78.5899195466794,0.9898013241368434,5.0,-0.01007183440129411,1443.0,1221.0,1424.14,1.0132430800342662,0.8573595292597638,0.0,0.8,3.174307230604011,31,197,70.06665501049592
28,Oregon,B10,22-12,108.55085176864418,38,79.1806530776958,21,0.9741208479236331,28,22.617265714896654,12.382734285103346,8.0,10.0,8-10,0.7799863396135089,0.5439804667985028,0.9237564191161893,0.7850985642107994,0.5439804667985028,0.9237564191161893,0.4874428441665331,0.8268128067068581,104.89247211282469,85.82464779618934,104.88737181882713,85.64746770709503,108.68152780126005,80.1710977766152,105.62792954515459,79.3039269076845,0.9643018153974805,16.0,-0.024795145990172074,1302.0,1270.0,1324.3000000000002,0.9831609152004831,0.9589972060711318,0.0,0.4444444444444444,3.3995693007559735,28,240,70.69974787700296
29,Alabama,SEC,23-10,109.48276155170662,32,80.42347771929643,29,0.9720040761676705,29,23.809083624342044,10.190916375657956,7.0,9.0,7-9,0.740706428089933,0.46720695856910016,0.9432425289088588,0.745133213702336,0.46720695856910016,0.9432425289088588,0.4958932584948111,0.8261524607849893,103.96261205728302,84.98730914470676,103.93362214078061,85.01019321887642,111.41120365573916,82.3289516140235,112.77641793200785,81.69128700657976,0.9760673726134352,16.0,0.05452806969877555,1063.0,1125.0,1112.08,0.955866484425581,1.011617869218042,0.0,0.4375,5.142182033546121,21,45,66.91993609134744
30,Texas Tech,B12,25-7,107.12936328054099,43,78.76636617980364,18,0.971717909924179,30,25.473804129067762,7.526195870932239,12.0,6.0,12-6,0.7157811471941236,0.5162472614234083,0.8489794965119235,0.7236199596576103,0.5162472614234083,0.8489794965119235,0.6064544631791097,0.851824333631436,99.13190568110231,87.44716874735946,99.44422310191463,87.21342325979374,110.12535549904244,81.7895205841097,113.80981807479513,81.44979930777285,0.9791071092967876,10.0,-0.01822808802654119,1248.0,1131.0,1243.54,1.0035865352139859,0.9095002975376747,0.0,0.6666666666666666,3.1889195107570663,30,228,68.55771858189799
31,Illinois,B10,21-11,115.18520775939062,15,84.87432337254756,57,0.9710203001701094,31,21.573199787922256,11.426800212077742,9.0,9.0,9-9,0.7477486964778398,0.4378181381845776,0.9044996827994254,0.754224883251664,0.4378181381845776,0.9044996827994254,0.4903456681658707,0.8417558483335488,104.32955109174814,88.12914979241266,104.34929435209392,87.86356472158327,118.88842585321393,86.00404096172412,115.91900978379296,85.9493122639968,0.9689327588847902,13.0,-0.0018666588456870414,1376.0,1305.0,1280.4199999999996,1.074647381328002,1.0191968260414555,0.0,0.5,3.3753416198536415,29,178,69.29636851907395
32,Georgia,SEC,22-9,108.90774808457697,36,80.2592554280423,28,0.9709779962446484,32,22.0,9.0,8.0,8.0,8-8,0.6652518007232362,0.3218931979020502,0.9455158463916613,0.6652518007232362,0.3218931979020502,0.9455158463916613,0.5383744898848785,0.8824331217774285,100.46358371235081,87.24479451415779,100.46358371235081,87.24479451415779,108.03547201707403,79.3109870562599,108.51269884258532,80.5767417217274,0.9684174156738109,14.0,0.02322537210938458,1082.0,1107.0,1152.6399999999999,0.9387146029983343,0.9604039422543033,0.0,0.5,3.816773233656903,25,112,68.32251342390745
33,Oklahoma St.,B12,23-9,113.07177451760967,23,84.25620803361295,51,0.9671641135994707,33,23.718644932641705,9.281355067358295,12.0,6.0,12-6,0.6750484664818518,0.37970649464625755,0.8751786179180494,0.6824773647006238,0.37970649464625755,0.8751786179180494,0.5830900275931049,0.8173932170655509,98.64055653504887,88.60394358655371,98.97946533098126,88.6011759595976,112.78144905750545,82.17136299370816,111.40572831201742,85.97312141399964,0.9516695689396643,12.0,-0.03159031213786523,1314.0,1177.0,1275.5600000000004,1.030135783499012,0.9227319765436355,0.0,0.6666666666666666,2.2371331220628043,36,267,69.46806380376114
34,Iowa St.,B12,22-9,117.09473975536133,9,87.38842477399147,86,0.9665969992300671,34,22.602825639336356,9.397174360663644,10.0,8.0,10-8,0.6901000304957973,0.40867475079482274,0.8642150013829135,0.6982270092836174,0.40867475079482274,0.8642150013829135,0.5821066223530464,0.8117289551830695,98.99779698273994,88.1053497778962,99.21890328197493,87.91730730938023,115.18184664792554,88.09933160266895,119.5020223191063,89.61989939424568,0.9647428395955028,12.0,-0.03975337023857306,1371.0,1311.0,1318.26,1.0400072823267035,0.9944927404305676,0.0,0.5555555555555556,1.8466844314845137,39,283,71.41227187413317
35,Baylor,B12,24-8,104.29010558964217,57,78.3875857658717,16,0.9638540721679161,35,24.0,8.0,13.0,5.0,13-5,0.7338614811095316,0.5469696376956329,0.8561944025248748,0.7338614811095316,0.5469696376956329,0.8561944025248748,0.5332522151296524,0.682247830215691,100.8200117837744,86.23746048237507,100.8200117837744,86.23746048237507,106.44564271686619,79.04760847201673,98.74622161981507,76.54398899636914,0.949257042445473,13.0,0.07749827225985384,1255.0,1148.0,1293.62,0.9701457924274517,0.8874321670969837,0.0,0.7222222222222222,5.158054987632236,20,25,70.12297344990371
36,Colorado,B12,22-11,104.98107868205429,52,79.36484245599318,24,0.9614628600044526,36,22.426800212077744,11.573199787922256,11.0,7.0,11-7,0.7685169664446715,0.5732908835191312,0.8668642740261422,0.7744729468483655,0.5732908835191312,0.8668642740261422,0.5442564184570625,0.7801406803648772,101.0053747873319,86.07809837749438,101.42242869827481,86.04269323028882,106.71595446307843,82.4338781639816,105.83303046331592,76.71073578986419,0.9758951356795882,14.0,-0.039026283296109465,1228.0,1165.0,1265.96,0.9700148503902176,0.9202502448734556,0.0,0.6111111111111112,1.58035076447503,42,280,67.77579023317479
37,Virginia Tech,ACC,23-9,104.71396182330577,53,79.62334467752906,25,0.9589142005224359,37,23.382734285103346,9.617265714896654,12.0,6.0,12-6,0.6739627901111959,0.4141160820243149,0.8179028731586664,0.6830584888328405,0.4141160820243149,0.8179028731586664,0.5698934865590999,0.8083528318486107,98.45334924753259,88.49251604457284,98.75933417242238,88.21033837890025,107.03486423530794,79.8417665735371,107.48956882776753,80.89662265311752,0.9633339871625872,13.0,0.010640161135294757,1280.0,1164.0,1298.2000000000003,0.9859805885071635,0.8966260976737018,0.0,0.6666666666666666,2.5484159203372063,35,148,71.10620743884637
38,Florida,SEC,18-15,108.55850648489209,37,83.73367212793212,44,0.9519354696304301,38,18.0,15.0,5.0,11.0,5-11,0.6957830723019495,0.41530754248179574,0.9251179947580068,0.6957830723019495,0.41530754248179574,0.9251179947580068,0.5490289441289804,0.8597727795498719,101.59524057275863,86.47782425857866,101.59524057275863,86.47782425857866,112.64182606192446,85.59543310890425,113.7468520150022,82.4979135147148,0.9757272170332307,14.0,-0.08430655354872285,1100.0,1181.0,1140.1799999999998,0.9647599501833045,1.0358013646968025,0.0,0.3125,-1.5698484299531223,58,346,69.97851703275481
39,Syracuse,ACC,23-8,106.07319855878619,48,82.08799078479615,36,0.9501633517126554,39,23.397174360663644,8.602825639336356,12.0,6.0,12-6,0.6493435776547529,0.3646077469306197,0.7889847291683476,0.659257747079161,0.3646077469306197,0.7889847291683476,0.5933568994546415,0.8328301635198408,98.93240105776103,88.71531593440298,99.49997414208558,88.6738505856162,109.0676529286709,84.48890489947952,103.60150949192321,83.78271441086173,0.9199552840860765,11.0,0.05259386703953961,1340.0,1236.0,1316.3600000000004,1.01795861314534,0.9389528700355523,0.0,0.6666666666666666,2.751282711206683,33,50,70.91750837455399
40,Virginia,ACC,19-11,110.59658621499298,29,86.55034812604436,74,0.9437138006603297,40,19.54575086954043,11.45424913045957,11.0,7.0,11-7,0.6513690582421862,0.3499863577820224,0.8205200989608636,0.6604582470388706,0.3499863577820224,0.8205200989608636,0.5815510754581608,0.8192137027245454,99.00462728508006,88.13379030064226,98.98683377172053,87.81613439677344,112.35345232835571,86.58341137735692,111.36210195300353,88.08828485301426,0.9367988753936951,13.0,-0.029429054441773905,1340.0,1259.0,1307.0000000000002,1.0252486610558529,0.9632746748278499,0.0,0.6111111111111112,-0.18538288400217467,50,258,67.20173362518774
41,Stanford,ACC,19-13,103.83077558228331,60,81.64142217812983,34,0.940749075770295,41,19.888201491771134,13.111798508228866,8.0,10.0,8-10,0.7219519465347699,0.5748634206307812,0.8195590072468927,0.7217573828248753,0.5748634206307812,0.8195590072468927,0.569390780871811,0.7010371471241145,101.21062189080759,87.79035555581794,101.18011177671237,87.9324791379271,105.16622994098213,83.11293502710004,102.29742241162246,80.78807711177382,0.9378846277367209,12.0,-0.048659058631964736,1228.0,1212.0,1281.4,0.958326830029655,0.9458404869673793,0.0,0.4444444444444444,-0.9314692090465324,56,303,68.47345805634923
42,Mississippi St.,SEC,18-13,106.54682490567347,45,83.7794060373077,45,0.9407309164355877,42,18.0,13.0,5.0,11.0,5-11,0.6727632801810882,0.34642676949910733,0.940859465187328,0.6727632801810882,0.34642676949910733,0.940859465187328,0.5452739581790914,0.8839606520870488,101.54028013257216,87.53765293137221,101.54028013257216,87.53765293137221,108.03573759939862,86.169056760908,105.23597908317751,85.24618674363946,0.9185353666750555,15.0,-0.020524072175117647,1090.0,1242.0,1175.5600000000002,0.9272176664738506,1.0565177447344243,0.0,0.3125,-0.20710547110530622,51,231,70.70298467281806
43,James Madison,SB,26-8,104.40232410781667,56,82.50940230941987,38,0.9374036112509213,43,26.15337333597109,8.84662666402891,14.0,4.0,14-4,0.5729169889817074,0.6639914259805105,0.4883012060695746,0.584777860997231,0.6639914259805105,0.4883012060695746,0.7494708129415297,0.644052617881929,95.95392857711505,91.3861246816708,96.50321730047189,91.01681560681477,104.82599205133583,86.08158822082332,101.29048518520838,84.87557028387438,0.8842463024792697,4.0,-0.0595860541894383,1379.0,1096.0,1283.5799999999997,1.0743389582262113,0.8538618551239504,0.0,0.7777777777777778,-1.766833023775391,61,316,69.4532199348198
44,Richmond,A10,26-7,109.2808156554261,34,86.77711346126901,76,0.93411238930458,44,26.266168560494457,7.733831439505543,15.0,3.0,15-3,0.5805789325476243,0.6101190172492591,0.5433993723021432,0.5921811522435929,0.6101190172492591,0.5433993723021432,0.7327074538910308,0.6878539738071184,94.41590029570001,89.44006882664,95.05722025126545,89.29471117997151,111.75969986949829,88.09088535701572,102.02645226963784,87.26021916286088,0.857890736042727,2.0,-0.014447989347638357,1340.0,1026.0,1203.56,1.1133636877264117,0.8524710026920137,0.0,0.8333333333333334,-0.3998859358794199,52,214,65.82952184544999
45,Arizona St.,B12,24-10,98.45302836958217,90,78.28645728164611,15,0.9331339109209594,45,24.45424913045957,10.54575086954043,9.0,9.0,9-9,0.7336798794505984,0.5309415179744845,0.8547619731764673,0.7396808486277986,0.5309415179744845,0.8547619731764673,0.5795070568363022,0.7978338342366681,100.60526938251382,87.43046882814939,100.89073557770554,87.40532252238903,101.04270210408633,80.60964462384713,103.24714268405219,79.72693418591317,0.9513373978771457,10.0,0.05429722032076245,1174.0,1165.0,1278.3400000000001,0.9183785221459079,0.9113381416524554,0.0,0.5,1.8780340432259566,38,46,68.49567177962152
